rom_thresh,pv_thresh,sm_thresh,trial_acc,trial_sens,trial_prec,trial_f1,subj_maj_acc,subj_maj_sens,subj_maj_prec,subj_maj_f1,subj_any_acc,subj_any_sens,subj_any_prec,subj_any_f1,TP,TN,FP,FN
122,0.75,0.88,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.75,0.9,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.75,0.92,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.75,0.94,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.75,0.96,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.8,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.82,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.84,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.86,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.88,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.9,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.92,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.94,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.8,0.96,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.8,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.82,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.84,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.86,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.88,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.9,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.92,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.94,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.85,0.96,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.8,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.82,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.84,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.86,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.88,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.9,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.92,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.94,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
122,0.9,0.96,0.76,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,0.52,0.52,1.0,0.6842105263157895,26,50,0,24
124,0.6,0.8,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.82,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.84,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.86,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.88,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.9,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.92,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.94,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.6,0.96,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.8,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.82,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.84,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.86,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.88,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.9,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.92,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.94,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.65,0.96,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.8,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.82,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.84,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.86,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.88,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.9,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.92,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.94,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.7,0.96,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.8,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.82,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.84,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.86,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.88,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.9,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.92,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.94,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.75,0.96,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.8,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.82,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.84,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.86,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.88,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.9,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
124,0.8,0.92,0.91,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,0.82,0.82,1.0,0.9010989010989011,41,50,0,9
